2021/02/15 09:06:43 [error] 14684#12580: *11 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/?cache-buster=92"
2021/02/15 15:34:25 [error] 3648#68: *3086 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /portifolio/img/portifolio/passeio.jpg HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/portifolio/"
2021/02/15 15:34:25 [error] 3648#68: *3081 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/bikcraft/css/produto.css HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/wp-content/themes/bikcraft/style.css"
2021/02/15 15:34:25 [error] 3648#68: *3081 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/bikcraft/css/produto.css HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/wp-content/themes/bikcraft/style.css"
2021/02/15 15:34:25 [error] 3648#68: *3089 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /portifolio/img/portifolio/esporte.jpg HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/portifolio/"
2021/02/15 15:34:25 [error] 3648#68: *3090 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /portifolio/img/redes-sociais/facebook.svg HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/portifolio/"
2021/02/15 15:34:25 [error] 3648#68: *3091 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /portifolio/img/redes-sociais/instagram.svg HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/portifolio/"
2021/02/15 15:34:25 [error] 3648#68: *3092 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /portifolio/img/redes-sociais/twitter.svg HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/portifolio/"
2021/02/15 15:34:25 [error] 3648#68: *3094 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /portifolio/img/portifolio/retro.jpg HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/portifolio/"
2021/02/15 15:34:25 [error] 3648#68: *3095 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/img/bg-footer.jpg HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/wp-content/themes/bikcraft/style.css"
2021/02/15 15:34:26 [error] 3648#68: *3096 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /bikcraftwp/produtos/ HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/portifolio/"
2021/02/15 15:34:27 [error] 3648#68: *3097 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /portifolio/img/portifolio/passeio.jpg HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/portifolio/"
2021/02/15 15:34:28 [error] 3648#68: *3098 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /bikcraftwp/sobre/ HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/portifolio/"
2021/02/15 15:34:34 [error] 3648#68: *3106 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/bikcraft/css/produto.css HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/portifolio/"
2021/02/15 16:58:55 [error] 3648#68: *8047 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /img/produtos/retro.svg HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/"
2021/02/15 16:58:55 [error] 3648#68: *8051 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /img/redes-sociais/facebook.svg HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/"
2021/02/15 16:58:56 [error] 3648#68: *8062 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/"
2021/02/15 16:58:56 [error] 3648#68: *8062 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "bikcraftwp.local", referrer: "http://bikcraftwp.local/"
